"Step","easy-cloud-105 - predicted_tm_score","easy-cloud-105 - predicted_tm_score__MIN","easy-cloud-105 - predicted_tm_score__MAX"
"0","0.24647921323776245","0.24647921323776245","0.24647921323776245"
"1","0.2487928867340088","0.2487928867340088","0.2487928867340088"
"2","0.24965712428092957","0.24965712428092957","0.24965712428092957"
"3","0.255332350730896","0.255332350730896","0.255332350730896"
"4","0.2582333981990814","0.2582333981990814","0.2582333981990814"
"5","0.2642950415611267","0.2642950415611267","0.2642950415611267"
"6","0.2672393321990967","0.2672393321990967","0.2672393321990967"
"7","0.26727598905563354","0.26727598905563354","0.26727598905563354"
"8","0.27227598428726196","0.27227598428726196","0.27227598428726196"
"9","0.27788010239601135","0.27788010239601135","0.27788010239601135"
"10","0.28109049797058105","0.28109049797058105","0.28109049797058105"
"11","0.28654277324676514","0.28654277324676514","0.28654277324676514"
"12","0.29062891006469727","0.29062891006469727","0.29062891006469727"
"13","0.29230743646621704","0.29230743646621704","0.29230743646621704"
"14","0.29614579677581787","0.29614579677581787","0.29614579677581787"
"15","0.30062976479530334","0.30062976479530334","0.30062976479530334"
"16","0.30188989639282227","0.30188989639282227","0.30188989639282227"
"17","0.32035207748413086","0.32035207748413086","0.32035207748413086"
"18","0.31549158692359924","0.31549158692359924","0.31549158692359924"
"19","0.3325743079185486","0.3325743079185486","0.3325743079185486"
"20","0.33928433060646057","0.33928433060646057","0.33928433060646057"
"21","0.34095755219459534","0.34095755219459534","0.34095755219459534"
"22","0.35517430305480957","0.35517430305480957","0.35517430305480957"
"23","0.37892305850982666","0.37892305850982666","0.37892305850982666"
"24","0.4021996855735779","0.4021996855735779","0.4021996855735779"
"25","0.4063512086868286","0.4063512086868286","0.4063512086868286"
"26","0.4163792133331299","0.4163792133331299","0.4163792133331299"
"27","0.44400379061698914","0.44400379061698914","0.44400379061698914"
"28","0.471380352973938","0.471380352973938","0.471380352973938"
"29","0.5192450284957886","0.5192450284957886","0.5192450284957886"
"30","0.5179026126861572","0.5179026126861572","0.5179026126861572"
"31","0.5551945567131042","0.5551945567131042","0.5551945567131042"
"32","0.5572735667228699","0.5572735667228699","0.5572735667228699"
"33","0.5797710418701172","0.5797710418701172","0.5797710418701172"
"34","0.5933418273925781","0.5933418273925781","0.5933418273925781"
"35","0.6307957768440247","0.6307957768440247","0.6307957768440247"
"36","0.6255584359169006","0.6255584359169006","0.6255584359169006"
"37","0.6569123864173889","0.6569123864173889","0.6569123864173889"
"38","0.6717504262924194","0.6717504262924194","0.6717504262924194"
"39","0.6716234087944031","0.6716234087944031","0.6716234087944031"
"40","0.6871074438095093","0.6871074438095093","0.6871074438095093"
"41","0.6926226615905762","0.6926226615905762","0.6926226615905762"
"42","0.7135621309280396","0.7135621309280396","0.7135621309280396"
"43","0.7169750928878784","0.7169750928878784","0.7169750928878784"
"44","0.7205871939659119","0.7205871939659119","0.7205871939659119"
"45","0.7354397773742676","0.7354397773742676","0.7354397773742676"
"46","0.727806568145752","0.727806568145752","0.727806568145752"
"47","0.7371968626976013","0.7371968626976013","0.7371968626976013"
"48","0.7406994104385376","0.7406994104385376","0.7406994104385376"
"49","0.7465237975120544","0.7465237975120544","0.7465237975120544"
"50","0.7478758692741394","0.7478758692741394","0.7478758692741394"
"51","0.7459854483604431","0.7459854483604431","0.7459854483604431"
"52","0.7537140250205994","0.7537140250205994","0.7537140250205994"
"53","0.7508466243743896","0.7508466243743896","0.7508466243743896"
"54","0.7532104253768921","0.7532104253768921","0.7532104253768921"
"55","0.7547816038131714","0.7547816038131714","0.7547816038131714"
"56","0.7594688534736633","0.7594688534736633","0.7594688534736633"
"57","0.7626913785934448","0.7626913785934448","0.7626913785934448"
"58","0.7658135294914246","0.7658135294914246","0.7658135294914246"
"59","0.7669739723205566","0.7669739723205566","0.7669739723205566"
"60","0.7662235498428345","0.7662235498428345","0.7662235498428345"
"61","0.7714626789093018","0.7714626789093018","0.7714626789093018"
"62","0.7692800164222717","0.7692800164222717","0.7692800164222717"
"63","0.7775934934616089","0.7775934934616089","0.7775934934616089"
"64","0.7686588168144226","0.7686588168144226","0.7686588168144226"
"65","0.7746917009353638","0.7746917009353638","0.7746917009353638"
"66","0.7742091417312622","0.7742091417312622","0.7742091417312622"
"67","0.7755727171897888","0.7755727171897888","0.7755727171897888"
"68","0.7780436873435974","0.7780436873435974","0.7780436873435974"
"69","0.7735458612442017","0.7735458612442017","0.7735458612442017"
"70","0.7817721366882324","0.7817721366882324","0.7817721366882324"
"71","0.7786843776702881","0.7786843776702881","0.7786843776702881"
"72","0.7707714438438416","0.7707714438438416","0.7707714438438416"
"73","0.7770624160766602","0.7770624160766602","0.7770624160766602"
"74","0.7799816727638245","0.7799816727638245","0.7799816727638245"
"75","0.7805619239807129","0.7805619239807129","0.7805619239807129"
"76","0.7872883081436157","0.7872883081436157","0.7872883081436157"
"77","0.7827460765838623","0.7827460765838623","0.7827460765838623"
"78","0.7789528965950012","0.7789528965950012","0.7789528965950012"
"79","0.7873256802558899","0.7873256802558899","0.7873256802558899"
"80","0.7840020060539246","0.7840020060539246","0.7840020060539246"
"81","0.783545970916748","0.783545970916748","0.783545970916748"
"82","0.7869808673858643","0.7869808673858643","0.7869808673858643"
"83","0.7889494895935059","0.7889494895935059","0.7889494895935059"
"84","0.7843024730682373","0.7843024730682373","0.7843024730682373"
"85","0.7891862392425537","0.7891862392425537","0.7891862392425537"
"86","0.7874351739883423","0.7874351739883423","0.7874351739883423"
"87","0.7783459424972534","0.7783459424972534","0.7783459424972534"
"88","0.7882515788078308","0.7882515788078308","0.7882515788078308"